Job_Title,Company_Name,Company_Address,Job_Time,Job_Level,Publish_Date
Backend Development Lead,Nugttah,Cairo\ Egypt,Full Time,Backend Development Lead,8\8\2022
"Full Stack Developer (.NET core , Angular)",Smart IT,Nasr City\ Cairo\ Egypt,Full Time,"Full Stack Developer (.NET core , Angular)",5\8\2022
Head Of Gender Unit,"The Micro, Small & Medium Enterprise Development Agency",Dokki\ Giza\ Egypt,Full Time,Head Of Gender Unit,31\7\2022
Senior Full Stack Developer,Confidential,Cairo\ Egypt,Full Time,Senior Full Stack Developer,1\8\2022
Strategic Planning Manger,Confidential,New Cairo\ Cairo\ Egypt,Full Time,Strategic Planning Manger,28\7\2022
Software Support Engineer,Trufla,Heliopolis\ Cairo\ Egypt,Full Time,Software Support Engineer,16\8\2022
Senior Business Application Support,Al Ahly Medical Company,Giza\ Giza\ Egypt,Full Time,Senior Business Application Support,16\8\2022
Senior MS Dynamics CRM Developer,egabi solutions,Cairo\ Egypt,Full Time,Senior MS Dynamics CRM Developer,11\8\2022
Pricing Supervisor - Cairo,Andalusia Group,Maadi\ Cairo\ Egypt,Full Time,Pricing Supervisor - Cairo,10\8\2022
QC Supervisor,Hikma Pharmaceuticals,Badr City\ Cairo\ Egypt,Full Time,QC Supervisor,16\7\2022
Cost Accounting And Analysis Manager,Confidential,Tanta\ Gharbia\ Egypt,Full Time,Cost Accounting And Analysis Manager,16\6\2022
Full Stack Senior Java Developer (Remotely for USA),Mobile Wave 3,Nasr City\ Cairo\ Egypt,Full Time,Full Stack Senior Java Developer (Remotely for USA),16\6\2022
Risk Assistant Manager,A.T Lease Egypt,Sheikh Zayed\ Giza\ Egypt,Full Time,Risk Assistant Manager,7\8\2022
Senior NET Developer,Z2 Data,Nasr City\ Cairo\ Egypt,Full Time,Senior NET Developer,16\6\2022
Market Researcher,Turning Point for Consultancies and Development,Cairo\ Egypt,Part Time,Market Researcher,24\7\2022
Senior Software Developer (.Net Core),BITechnologies,New Cairo\ Cairo\ Egypt,Full Time,Senior Software Developer (.Net Core),26\7\2022
Internal Auditor,A2Z Lingerie,Smouha\ Alexandria\ Egypt,Full Time,Internal Auditor,2\8\2022
Marketing Supervisor,El Nahar for Medical Solutions,Cairo\ Egypt,Full Time,Marketing Supervisor,2\8\2022
QSIT -Software Development Team Leader,Alkan CIT,Mokattam\ Cairo\ Egypt,Full Time,QSIT -Software Development Team Leader,24\7\2022
Category Manager,Raya Distribution,Maadi\ Cairo\ Egypt,Full Time,Category Manager,31\7\2022
Senior Internal Auditor,Gates Development,Sheikh Zayed\ Giza\ Egypt,Full Time,Senior Internal Auditor,31\7\2022
Senior Financial Planning & Analysis Executive,MENASSAT,New Cairo\ Cairo\ Egypt,Full Time,Senior Financial Planning & Analysis Executive,31\7\2022
QA QC Manager,Confidential,New Capital\ Cairo\ Egypt,Full Time,QA QC Manager,31\7\2022
GIS,Creditor for financial technology,Zamalek\ Cairo\ Egypt,Full Time,GIS,18\7\2022
Senior Software Tester,Confidential,Maadi\ Cairo\ Egypt,Full Time,Senior Software Tester,28\7\2022
